dataset,task,metric,fm,split,split_seed,model_seed,score
cyp2c9_veith,classification,auprc,chemberta,scaffold,0,1,0.7411646857331975
cyp2c9_veith,classification,auprc,chemberta,scaffold,0,2,0.7289775536563539
cyp2c9_veith,classification,auprc,chemberta,cluster,0,0,0.684089956923672
cyp2c9_veith,classification,auprc,chemberta,cluster,0,1,0.6838286784925641
cyp2c9_veith,classification,auprc,chemberta,cluster,0,2,0.691448227399441
cyp2c9_veith,classification,auprc,chemberta,random,1,0,0.7630435159827754
cyp2c9_veith,classification,auprc,chemberta,random,1,1,0.7624300278447234
cyp2c9_veith,classification,auprc,chemberta,random,1,2,0.7763938935914527
cyp2c9_veith,classification,auprc,chemberta,scaffold,1,0,0.7509626434779053
cyp2c9_veith,classification,auprc,chemberta,scaffold,1,1,0.7331750280894673
cyp2c9_veith,classification,auprc,chemberta,scaffold,1,2,0.7440168167652981
cyp2c9_veith,classification,auprc,chemberta,cluster,1,0,0.6591612827829829
cyp2c9_veith,classification,auprc,chemberta,cluster,1,1,0.6693012380159438
cyp2c9_veith,classification,auprc,chemberta,cluster,1,2,0.6618598174660597
cyp2c9_veith,classification,auprc,chemberta,random,2,0,0.7796266314010027
cyp2c9_veith,classification,auprc,chemberta,random,2,1,0.7752497333232544
cyp2c9_veith,classification,auprc,chemberta,random,2,2,0.7768764361309237
cyp2c9_veith,classification,auprc,chemberta,scaffold,2,0,0.773897238217582
cyp2c9_veith,classification,auprc,chemberta,scaffold,2,1,0.7538196765148433
cyp2c9_veith,classification,auprc,chemberta,scaffold,2,2,0.7539972611543467
cyp2c9_veith,classification,auprc,chemberta,cluster,2,0,0.6744062462213105
cyp2c9_veith,classification,auprc,chemberta,cluster,2,1,0.6779550307204465
cyp2c9_veith,classification,auprc,chemberta,cluster,2,2,0.6742372721238077
cyp2c9_veith,classification,auprc,chemberta,random,3,0,0.7958316305323451
cyp2c9_veith,classification,auprc,chemberta,random,3,1,0.7927931338027046
cyp2c9_veith,classification,auprc,chemberta,random,3,2,0.7930063420101511
cyp2c9_veith,classification,auprc,chemberta,scaffold,3,0,0.7267495357726311
cyp2c9_veith,classification,auprc,chemberta,scaffold,3,1,0.7414264540618236
cyp2c9_veith,classification,auprc,chemberta,scaffold,3,2,0.7344609354308086
cyp2c9_veith,classification,auprc,chemberta,cluster,3,0,0.6952642783463185
cyp2c9_veith,classification,auprc,chemberta,cluster,3,1,0.6946945680459129
cyp2c9_veith,classification,auprc,chemberta,cluster,3,2,0.7019092810975469
cyp2c9_veith,classification,auprc,chemberta,random,4,0,0.7304115716210162
cyp2c9_veith,classification,auprc,chemberta,random,4,1,0.7382356502583052
cyp2c9_veith,classification,auprc,chemberta,random,4,2,0.7427771346103044
cyp2c9_veith,classification,auprc,chemberta,scaffold,4,0,0.7405369014874195
cyp2c9_veith,classification,auprc,chemberta,scaffold,4,1,0.7470788334929138
cyp2c9_veith,classification,auprc,chemberta,scaffold,4,2,0.7443047664268115
cyp2c9_veith,classification,auprc,chemberta,cluster,4,0,0.6847504849120262
cyp2c9_veith,classification,auprc,chemberta,cluster,4,1,0.6997852700574537
cyp2c9_veith,classification,auprc,chemberta,cluster,4,2,0.6957934884613264
cyp2d6_substrate_carbonmangels,classification,auprc,chemberta,random,0,0,0.6903016359393238
cyp2d6_substrate_carbonmangels,classification,auprc,chemberta,random,0,1,0.717250900162537
cyp2d6_substrate_carbonmangels,classification,auprc,chemberta,random,0,2,0.6826045247469213
